"","unit_","area_pixels_","thinning","herbicide","rxfire","area_pixels"
"480",1419,2247,0,0,0,1303
"484",1423,757,0,0,0,757
"491",1430,558,0,0,0,558
"494",1433,571,0,0,0,571
"497",1436,1104,0,0,0,24
"505",1444,1400,0,0,0,1400
"506",1445,692,0,0,0,692
"507",1446,938,0,0,0,938
"508",1447,942,0,0,0,942
"513",1452,2074,0,0,0,2074
"514",1453,762,0,0,0,762
"517",1456,1634,0,0,0,1634
"519",1458,1024,0,0,0,1024
"522",1461,1350,0,0,0,229
"523",1462,1071,0,0,0,1071
"524",1463,1051,0,0,0,5
"528",1467,1496,0,0,0,1496
"534",1473,4064,0,0,0,4064
"535",1474,1849,0,0,0,1849
"540",1479,1081,0,0,0,1081
"541",1480,794,0,0,0,794
"542",1481,1081,0,0,0,1081
"543",1482,3625,0,0,0,3625
"544",1483,1521,0,0,0,1521
"545",1484,350,0,0,0,350
"553",1492,1241,0,0,0,1241
"558",1497,1003,0,0,0,1003
"559",1498,773,0,0,0,773
"567",1506,3879,0,0,0,213
"569",1508,3387,0,0,0,3387
"574",1514,1766,0,0,0,1766
"585",1525,4019,0,0,0,1148
"589",1529,2503,0,0,0,2503
"590",1530,3480,0,0,0,1975
"597",1537,842,0,0,0,842
"598",1538,570,0,0,0,570
"601",1541,1010,0,0,0,1010
"602",1542,1900,0,0,0,1900
"609",1549,1060,0,0,0,1060
"616",1556,856,0,0,0,123
"617",1557,1085,0,0,0,1085
"618",1558,1132,0,0,0,1132
"625",1565,783,0,0,0,783
"626",1566,681,0,0,0,681
"637",1577,4019,0,0,0,4019
"638",1578,6789,0,0,0,6789
"639",1579,5260,0,0,0,5260
"640",1580,5396,0,0,0,5396
"641",1581,1190,0,0,0,1190
"643",1583,1793,0,0,0,1793
"644",1584,1074,0,0,0,1074
"645",1585,1004,0,0,0,1004
"646",1586,875,0,0,0,875
"648",1588,1382,0,0,0,1382
"649",1589,455,0,0,0,455
"650",1590,1268,0,0,0,1268
"654",1594,1160,0,0,0,1160
"661",1601,4355,0,0,0,580
"663",1603,1399,0,0,0,7
"672",1612,6886,0,0,0,6886
"673",1613,6654,0,0,0,5312
"681",1621,1827,0,0,0,1827
"687",1627,1101,0,0,0,1101
"688",1628,875,0,0,0,875
"704",1644,821,0,0,0,821
"706",1646,639,0,0,0,639
"711",1651,805,0,0,0,805
"722",1662,3196,0,0,0,3196
"724",1664,841,0,0,0,841
"735",1675,2875,0,0,0,2875
"736",1676,506,0,0,0,506
"738",1678,2029,0,0,0,342
"740",1680,1640,0,0,0,395
"741",1681,1689,0,0,0,389
"742",1682,3088,0,0,0,337
"743",1683,471,0,0,0,471
"744",1684,869,0,0,0,869
"745",1685,1623,0,0,0,1571
"746",1686,3468,0,0,0,2788
"747",1687,1326,0,0,0,1326
"748",1688,1395,0,0,0,1395
"754",1694,3437,0,0,0,3437
"755",1695,802,0,0,0,802
"759",1700,967,0,0,0,967
"762",1703,3110,0,0,0,3110
"770",1711,3573,0,0,0,507
"771",1712,1603,0,0,0,1603
"772",1713,2565,0,0,0,2565
"779",1720,1749,0,0,0,178
"781",1722,1580,0,0,0,1580
"782",1723,992,0,0,0,992
"795",1736,2480,0,0,0,2480
"798",1739,1084,0,0,0,1084
"809",1750,1413,0,0,0,1413
"810",1751,1602,0,0,0,1444
"811",1752,2433,0,0,0,2055
"812",1753,584,0,0,0,584
"813",1754,2729,0,0,0,2729
"827",1768,7081,0,0,0,3703
"830",1771,1155,0,0,0,1155
"831",1772,959,0,0,0,959
"832",1773,596,0,0,0,596
"833",1774,1459,0,0,0,1459
"839",1780,550,0,0,0,550
"846",1787,967,0,0,0,967
"847",1788,2994,0,0,0,2994
"848",1789,798,0,0,0,798
"849",1790,2950,0,0,0,2950
"854",1795,1708,0,0,0,1708
"858",1799,2268,0,0,0,2268
"868",1810,2317,0,0,0,1203
"869",1811,3833,0,0,0,3833
"877",1819,977,0,0,0,977
"878",1820,1776,0,0,0,1776
"879",1821,1250,0,0,0,1250
"880",1822,2877,0,0,0,2877
"881",1823,1827,0,0,0,1163
"891",1833,4758,0,0,0,4758
"892",1834,762,0,0,0,762
"895",1837,994,0,0,0,994
"896",1838,1453,0,0,0,1453
"902",1844,1287,0,0,0,1287
"904",1846,1147,0,0,0,2
"907",1849,906,0,0,0,906
"908",1850,766,0,0,0,766
"909",1851,928,0,0,0,928
"915",1857,1385,0,0,0,1385
"917",1859,981,0,0,0,981
"918",1860,872,0,0,0,872
"919",1861,478,0,0,0,478
"928",1870,781,0,0,0,781
"933",1875,2715,0,0,0,2715
"942",1885,1062,0,0,0,234
"944",1887,1067,0,0,0,1067
"946",1889,1417,0,0,0,1417
"948",1891,1546,0,0,0,1073
"957",1900,1492,0,0,0,1492
"959",1902,1355,0,0,0,1355
"960",1903,3635,0,0,0,3635
"961",1904,1678,0,0,0,1678
"962",1905,4509,0,0,0,4509
"963",1906,1509,0,0,0,1509
"964",1907,996,0,0,0,996
"965",1908,2024,0,0,0,2024
"979",1922,578,0,0,0,578
"1000",1943,603,0,0,0,603
"1001",1944,1783,0,0,0,1783
"1003",1946,1692,0,0,0,194
"1004",1947,1328,0,0,0,264
"1018",8888,2612191,1,1,1,73469
"1019",9999,342940,1,1,1,100638
