"","x"
"1",1
"2",41
"3",24
"4",100
"5",2
"6",499
"7",11
"8",15
"9",2
"10",10
"11",34
"12",68
"13",72
"14",2
"15",12
"16",11
"17",68
"18",72
"19",104
"20",22
"21",1
"22",24
"23",38
"24",264
"25",12
"26",8
"27",77
"28",120
"29",1
"30",10
"31",16
"32",129
"33",72
"34",94
"35",45
"36",115
"37",76
"38",110
"39",43
"40",12
"41",28
"42",1
"43",14
"44",116
"45",44
"46",1
"47",2
"48",48
"49",267
"50",24
"51",20
"52",176
"53",702
"54",1
"55",65
"56",5
"57",4
"58",91
"59",5
"60",115
"61",128
"62",1
"63",133
"64",7
"65",3
"66",1
"67",6
"68",4
"69",12
"70",45
"71",6
"72",23
"73",6
"74",11
"75",1
"76",1
"77",56
"78",7
"79",26
"80",1
"81",1
"82",1
"83",34
"84",5
"85",7
"86",432
"87",1365
"88",2
"89",5
"90",12
"91",8
"92",9
"93",12
"94",35
"95",3
"96",113
"97",20
"98",23
"99",1
"100",2
"101",5
"102",13
"103",2
"104",1
"105",33
"106",301
"107",29
"108",6
"109",349
"110",1141
"111",6
"112",1331
"113",536
"114",1
"115",23
"116",7
"117",5
"118",2
"119",11
"120",4
"121",3
"122",19
"123",2
"124",1780
"125",5
"126",47
"127",18
"128",24
"129",8
"130",1
"131",1
"132",54
"133",17
"134",3
"135",3
"136",2
"137",55
"138",58
"139",60
"140",216
"141",276
"142",611
"143",5
"144",15
"145",1
"146",10
"147",14
"148",1
"149",70
"150",2
"151",115
"152",17
"153",1
"154",20
"155",1
"156",1
"157",3
"158",6
"159",8
"160",962
"161",5
"162",1
"163",1
"164",5
"165",1
"166",3
"167",11
"168",3
"169",135
"170",5
"171",25
"172",3
"173",2
"174",3
"175",1
"176",2
"177",2
"178",1
"179",14
"180",5
"181",8
"182",2
"183",7
"184",4
"185",2
"186",1
"187",2
"188",18
"189",11
"190",2
"191",3
"192",2
"193",1
"194",3
"195",2
"196",14
"197",10
"198",3
"199",1
"200",1
"201",1
"202",3
"203",20
"204",1
