pre,post_1,post_2,start,end,,
2017302,2017303,-1,0,10,,
2017303,2017304,-1,21,40,,
2017304,2011305,-1,41,60,,
2017401,2017402,-1,0,10,,
2017402,2017403,-1,11,20,,
2017403,2017404,-1,21,40,,
2017404,1051405,2031405,41,60,,
2018101,2018102,-1,0,10,,
2018102,2011103,-1,11,20,,
2018103,2018104,-1,21,40,,
2018104,2011105,-1,41,60,,
2018201,2018202,-1,0,10,,
2018202,2011203,-1,11,20,,
2018203,2018204,-1,21,40,,
2018204,2011205,-1,41,60,,
2018301,2018302,-1,0,10,,
2018302,2018303,-1,11,20,,
2018303,2018304,-1,21,40,,
2018304,2011305,-1,41,60,,
2018401,2018402,-1,0,10,,
2018402,2018403,-1,11,20,,
2018403,2018404,-1,21,40,,
2018404,1051405,2031405,41,60,,
2031401,2031402,-1,0,10,,
2031402,2031403,-1,11,20,,
2031403,2031404,-1,21,40,,
2031404,2031405,-1,41,60,,
2031405,2031406,-1,61,100,,
2031406,-1,-1,101,999999999,,
2032101,2032102,-1,0,10,,
2032102,2032103,-1,11,20,,
2032103,2032104,-1,21,40,,
2032104,2032105,-1,41,60,,
2032105,2032106,-1,61,100,,
2032106,-1,-1,101,999999999,,
2032201,2032202,-1,0,10,,
2032202,2032203,-1,11,20,,
2032203,2032204,-1,21,40,,
2032204,2032205,-1,41,60,,
2032205,2032206,-1,61,100,,
2032206,-1,-1,101,999999999,,
2032301,2032302,-1,0,10,,
2032302,2032303,-1,11,20,,
2032303,2032304,-1,21,40,,
2032304,2032305,-1,41,60,,
2032305,2032306,-1,61,100,,
2032306,-1,-1,101,999999999,,
2032401,2032402,-1,0,10,,
2032402,2032403,-1,11,20,,
2032403,2032404,-1,21,40,,
2032404,2032405,-1,41,60,,
2032405,2032406,-1,61,100,,
2032406,-1,-1,101,999999999,,
2033101,2033102,-1,0,10,,
2033102,2033103,-1,11,20,,
2033103,2033104,-1,21,40,,
2033104,2033105,-1,41,60,,
2033105,2033106,-1,61,100,,
2033106,-1,-1,101,999999999,,
2033201,2033202,-1,0,10,,
2033202,2033203,-1,11,20,,
2033203,2033204,-1,21,40,,
2033204,2033205,-1,41,60,,
2033205,2033206,-1,61,100,,
2033206,-1,-1,101,999999999,,
2033301,2033302,-1,0,10,,
2033302,2033303,-1,11,20,,
2033303,2033304,-1,21,40,,
2033304,2033305,-1,41,60,,
2033305,2033306,-1,61,100,,
2033306,-1,-1,101,999999999,,
2033401,2033402,-1,0,10,,
2033402,2033403,-1,11,20,,
2033403,2033404,-1,21,40,,
2033404,2033405,-1,41,60,,
2033405,2033406,-1,61,100,,
2033406,-1,-1,101,999999999,,
2034101,2034102,-1,0,10,,
2034102,2034103,-1,11,20,,
2034103,2034104,-1,21,40,,
2034104,2034105,-1,41,60,,
2034105,2034106,-1,61,100,,
2034106,-1,-1,101,999999999,,
2034201,2034202,-1,0,10,,
2034202,2034203,-1,11,20,,
2034203,2034204,-1,21,40,,
2034204,2034205,-1,41,60,,
2034205,2034206,-1,61,100,,
2034206,-1,-1,101,999999999,,
2034301,2034302,-1,0,10,,
2034302,2034303,-1,11,20,,
2034303,2034304,-1,21,40,,
2034304,2034305,-1,41,60,,
2034305,2034306,-1,61,100,,
2034306,-1,-1,101,999999999,,
2034401,2034402,-1,0,10,,
2034402,2034403,-1,11,20,,
2034403,2034404,-1,21,40,,
2034404,2034405,-1,41,60,,
2034405,2034406,-1,61,100,,
2034406,-1,-1,101,999999999,,
3011101,3011102,-1,0,10,,
3011102,3011103,-1,11,20,,
3011103,3011104,-1,21,40,,
3011104,3011105,-1,41,60,,
3011105,3011106,-1,61,100,,
3011106,-1,-1,101,999999999,,
3011201,3011202,-1,0,10,,
3011202,3011203,-1,11,20,,
3011203,3011204,-1,21,40,,
3011204,3011205,-1,41,60,,
3011205,3011206,-1,61,100,,
3011206,-1,-1,101,999999999,,
3011301,3011302,-1,0,10,,
3011302,3011303,-1,11,20,,
3011303,3011304,-1,21,40,,
3011304,3011305,-1,41,60,,
3011305,3011306,-1,61,100,,
3011306,-1,-1,101,999999999,,
3012101,3012102,-1,0,10,,
3012102,3012103,-1,11,20,,
3012103,3012104,-1,21,40,,
3012104,3012105,-1,41,60,,
3012105,3012106,-1,61,100,,
3012106,-1,-1,101,999999999,,
3012201,3012202,-1,0,10,,
3012202,3012203,-1,11,20,,
3012203,3012204,-1,21,40,,
3012204,3012205,-1,41,60,,
3012205,3012206,-1,61,100,,
3012206,-1,-1,101,999999999,,
3012301,3012302,-1,0,10,,
3012302,3012303,-1,11,20,,
3012303,3012304,-1,21,40,,
3012304,3012305,-1,41,60,,
3012305,3012306,-1,61,100,,
3012306,-1,-1,101,999999999,,
3012401,3012402,-1,0,10,,
3012402,3012403,-1,11,20,,
3012403,3012404,-1,21,40,,
3012404,3012405,-1,41,60,,
3012405,3012406,-1,61,100,,
3012406,-1,-1,101,999999999,,
3013101,3013102,-1,0,10,,
3013102,3013103,-1,11,20,,
3013103,3013104,-1,21,40,,
3013104,3013105,-1,41,60,,
3013105,3013106,-1,61,100,,
3013106,-1,-1,101,999999999,,
3013201,3013202,-1,0,10,,
3013202,3013203,-1,11,20,,
3013203,3013204,-1,21,40,,
3013204,3013205,-1,41,60,,
3013205,3013206,-1,61,100,,
3013206,-1,-1,101,999999999,,
3013301,3013302,-1,0,10,,
3013302,3013303,-1,11,20,,
3013303,3013304,-1,21,40,,
3013304,3013305,-1,41,60,,
3013305,3013306,-1,61,100,,
3013306,-1,-1,101,999999999,,
3013401,3013402,-1,0,10,,
3013402,3013403,-1,11,20,,
3013403,3013404,-1,21,40,,
3013404,3013405,-1,41,60,,
3013405,3013406,-1,61,100,,
3013406,-1,-1,101,999999999,,
3014101,3014102,-1,0,10,,
3014102,3014103,-1,11,20,,
3014103,3014104,-1,21,40,,
3014104,3014105,-1,41,60,,
3014105,3014106,-1,61,100,,
3014106,-1,-1,101,999999999,,
3014201,3014202,-1,0,10,,
3014202,3014203,-1,11,20,,
3014203,3014204,-1,21,40,,
3014204,3014205,-1,41,60,,
3014205,3014206,-1,61,100,,
3014206,-1,-1,101,999999999,,
3014301,3014302,-1,0,10,,
3014302,3014303,-1,11,20,,
3014303,3014304,-1,21,40,,
3014304,3014305,-1,41,60,,
3014305,3014306,-1,61,100,,
3014306,-1,-1,101,999999999,,
3014401,3014402,-1,0,10,,
3014402,3014403,-1,11,20,,
3014403,3014404,-1,21,40,,
3014404,3014405,-1,41,60,,
3014405,3014406,-1,61,100,,
3014406,-1,-1,101,999999999,,
3015103,3015104,-1,21,40,,
3015104,3011105,-1,41,60,,
3015203,3015204,-1,21,40,,
3015204,3011205,-1,41,60,,
3015302,3015303,-1,11,20,,
3015303,3015304,-1,21,40,,
3015304,3011305,-1,41,60,,
3015401,3015402,-1,0,10,,
3015402,3015403,-1,11,20,,
3015403,3015404,-1,21,40,,
3015404,3021405,-1,41,60,,
3016101,3016102,-1,0,10,,
3016102,3011103,-1,11,20,,
3016103,3016104,-1,21,40,,
3016104,3011105,-1,41,60,,
3016201,3016202,-1,0,10,,
3016202,3016203,-1,11,20,,
3016203,3016204,-1,21,40,,
3016204,3011205,-1,41,60,,
3016301,3016302,-1,0,10,,
3016302,3016303,-1,11,20,,
3016303,3016304,-1,21,40,,
3016304,3011305,-1,41,60,,
3016401,3016402,-1,0,10,,
3016402,3016403,-1,11,20,,
3016403,3016404,-1,21,40,,
3016404,3021405,-1,41,60,,
3017101,3017102,-1,0,10,,
3017102,3011103,-1,11,20,,
3017103,3017104,-1,21,40,,
3017104,3011105,-1,41,60,,
3017201,3017202,-1,0,10,,
3017202,3011203,-1,11,20,,
3017203,3017204,-1,21,40,,
3017204,3011205,-1,41,60,,
3017301,3017302,-1,0,10,,
3017302,3017303,-1,11,20,,
3017303,3017304,-1,21,40,,
3017304,3011305,-1,41,60,,
3017401,3017402,-1,0,10,,
3017402,3017403,-1,11,20,,
3017403,3017404,-1,21,40,,
3017404,3021405,-1,41,60,,
3018101,3018102,-1,0,10,,
3018102,3011103,-1,11,20,,
3018103,3018104,-1,21,40,,
3018104,3011105,-1,41,60,,
3018201,3018202,-1,0,10,,
3018202,3011203,-1,11,20,,
3018203,3018204,-1,21,40,,
3018204,3011205,-1,41,60,,
3018301,3018302,-1,0,10,,
3018302,3018303,-1,11,20,,
3018303,3018304,-1,21,40,,
3018304,3011305,-1,41,60,,
3018401,3018402,-1,0,10,,
3018402,3018403,-1,11,20,,
3018403,3018404,-1,21,40,,
3018404,3021405,-1,41,60,,
3021401,3021402,-1,0,10,,
3021402,3021403,-1,11,20,,
3021403,3021404,-1,21,40,,
3021404,3021405,-1,41,60,,
3021405,3021406,-1,61,100,,
3021406,-1,-1,101,999999999,,
3022101,3022102,-1,0,10,,
3022102,3022103,-1,11,20,,
3022103,3022104,-1,21,40,,
3022104,3022105,-1,41,60,,
3022105,3022106,-1,61,100,,
3022106,-1,-1,101,999999999,,
3022201,3022202,-1,0,10,,
3022202,3022203,-1,11,20,,
3022203,3022204,-1,21,40,,
3022204,3022205,-1,41,60,,
3022205,3022206,-1,61,100,,
3022206,-1,-1,101,999999999,,
3022301,3022302,-1,0,10,,
3022302,3022303,-1,11,20,,
3022303,3022304,-1,21,40,,
3022304,3022305,-1,41,60,,
3022305,3022306,-1,61,100,,
3022306,-1,-1,101,999999999,,
3022401,3022402,-1,0,10,,
3022402,3022403,-1,11,20,,
3022403,3022404,-1,21,40,,
3022404,3022405,-1,41,60,,
3022405,3022406,-1,61,100,,
3022406,-1,-1,101,999999999,,
3023101,3023102,-1,0,10,,
3023102,3023103,-1,11,20,,
3023103,3023104,-1,21,40,,
3023104,3023105,-1,41,60,,
3023105,3023106,-1,61,100,,
3023106,-1,-1,101,999999999,,
3023201,3023202,-1,0,10,,
3023202,3023203,-1,11,20,,
3023203,3023204,-1,21,40,,
3023204,3023205,-1,41,60,,
3023205,3023206,-1,61,100,,
3023206,-1,-1,101,999999999,,
3023301,3023302,-1,0,10,,
3023302,3023303,-1,11,20,,
3023303,3023304,-1,21,40,,
3023304,3023305,-1,41,60,,
3023305,3023306,-1,61,100,,
3023306,-1,-1,101,999999999,,
3023401,3023402,-1,0,10,,
3023402,3023403,-1,11,20,,
3023403,3023404,-1,21,40,,
3023404,3023405,-1,41,60,,
3023405,3023406,-1,61,100,,
3023406,-1,-1,101,999999999,,
3024101,3024102,-1,0,10,,
3024102,3024103,-1,11,20,,
3024103,3024104,-1,21,40,,
3024104,3024105,-1,41,60,,
3024105,3024106,-1,61,100,,
3024106,-1,-1,101,999999999,,
3024201,3024202,-1,0,10,,
3024202,3024203,-1,11,20,,
3024203,3024204,-1,21,40,,
3024204,3024205,-1,41,60,,
3024205,3024206,-1,61,100,,
3024206,-1,-1,101,999999999,,
3024301,3024302,-1,0,10,,
3024302,3024303,-1,11,20,,
3024303,3024304,-1,21,40,,
3024304,3024305,-1,41,60,,
3024305,3024306,-1,61,100,,
3024306,-1,-1,101,999999999,,
3024401,3024402,-1,0,10,,
3024402,3024403,-1,11,20,,
3024403,3024404,-1,21,40,,
3024404,3024405,-1,41,60,,
3024405,3024406,-1,61,100,,
3024406,-1,-1,101,999999999,,
3031401,3031402,-1,0,10,,
3031402,3031403,-1,11,20,,
3031403,3031404,-1,21,40,,
3031404,3031405,-1,41,60,,
3031405,3031406,-1,61,100,,
3031406,-1,-1,101,999999999,,
3032101,3032102,-1,0,10,,
3032102,3032103,-1,11,20,,
3032103,3032104,-1,21,40,,
3032104,3032105,-1,41,60,,
3032105,3032106,-1,61,100,,
3032106,-1,-1,101,999999999,,
3032201,3032202,-1,0,10,,
3032202,3032203,-1,11,20,,
3032203,3032204,-1,21,40,,
3032204,3032205,-1,41,60,,
3032205,3032206,-1,61,100,,
3032206,-1,-1,101,999999999,,
3032301,3032302,-1,0,10,,
3032302,3032303,-1,11,20,,
3032303,3032304,-1,21,40,,
3032304,3032305,-1,41,60,,
3032305,3032306,-1,61,100,,
3032306,-1,-1,101,999999999,,
3032401,3032402,-1,0,10,,
3032402,3032403,-1,11,20,,
3032403,3032404,-1,21,40,,
3032404,3032405,-1,41,60,,
3032405,3032406,-1,61,100,,
3032406,-1,-1,101,999999999,,
3033101,3033102,-1,0,10,,
3033102,3033103,-1,11,20,,
3033103,3033104,-1,21,40,,
3033104,3033105,-1,41,60,,
3033105,3033106,-1,61,100,,
3033106,-1,-1,101,999999999,,
3033201,3033202,-1,0,10,,
3033202,3033203,-1,11,20,,
3033203,3033204,-1,21,40,,
