BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
1103,888,1,2,1,1,1,1,1
1104,726,1,2,1,1,1,1,1
1105,527,1,2,1,1,1,1,1
1106,1772,1,2,1,1,1,1,1
1107,1070,1,2,1,1,1,1,1
1108,517,1,2,1,1,1,1,1
1109,1024,1,2,1,1,1,1,1
1110,1232,1,2,1,1,1,1,1
1111,1258,1,2,1,1,1,1,1
1112,1205,1,2,1,1,1,1,1
1113,1281,1,2,1,1,1,1,1
1114,1361,1,2,1,1,1,1,1
1115,712,1,2,1,1,1,1,1
1116,795,1,2,1,1,1,1,1
1117,1043,1,2,1,1,1,1,1
1118,2092,1,2,1,1,1,1,1
1119,1153,1,2,1,1,1,1,1
1120,1117,1,2,1,1,1,1,1
1121,5113,1,2,1,1,1,1,1
1122,1318,1,2,1,1,1,1,1
1123,625,1,2,1,1,1,1,1
1124,1688,1,2,1,1,1,1,1
1125,1124,1,2,1,1,1,1,1
1126,1058,1,2,1,1,1,1,1
1127,2190,1,2,1,1,1,1,1
1128,2189,1,2,1,1,1,1,1
1129,379,1,2,1,1,1,1,1
1130,886,1,2,1,1,1,1,1
1131,886,1,2,1,1,1,1,1
1132,2859,1,2,1,1,1,1,1
1133,749,1,2,1,1,1,1,1
1134,3935,1,2,1,1,1,1,1
1135,2558,1,2,1,1,1,1,1
1136,1217,1,2,1,1,1,1,1
1137,1280,1,2,1,1,1,1,1
1138,794,1,2,1,1,1,1,1
1139,793,1,1,2,1,1,1,2
1140,812,1,2,1,1,1,1,1
1141,1797,1,2,1,1,1,1,1
1142,2131,1,2,1,1,1,1,1
1143,675,1,2,1,1,1,1,1
1144,321,1,2,1,1,1,1,1
1145,1158,1,1,2,1,1,1,2
1146,1389,1,2,1,1,1,1,1
1147,2118,1,2,1,1,1,1,1
1148,908,1,2,1,1,1,1,1
1149,745,1,2,1,1,1,1,1
1150,2975,1,2,1,1,1,1,1
1151,2803,2,2,1,1,1,1,1
1152,2388,1,2,1,1,1,1,1
1153,3619,1,2,1,1,1,1,1
1154,3245,1,2,1,1,1,1,1
1155,696,1,2,1,1,1,1,1
1156,365,1,2,1,1,1,1,1
1157,859,1,2,1,1,1,1,1
1158,461,1,2,1,1,1,1,1
1159,644,1,2,1,1,1,1,1
1160,1017,1,1,2,1,1,1,2
1161,670,1,2,1,1,1,1,1
1162,677,1,2,1,1,1,1,1
1163,694,1,2,1,1,1,1,1
1164,716,1,2,1,1,1,1,1
1165,502,1,2,1,1,1,1,1
1166,1002,1,2,1,1,1,1,1
1167,1666,1,2,1,1,1,2,1
1168,627,1,2,1,1,1,1,1
1169,1017,1,2,1,1,1,1,1
1170,1001,1,2,1,1,1,1,1
1171,1142,1,2,1,1,1,1,1
1172,885,1,2,1,1,1,1,1
1173,652,1,2,1,1,1,1,1
1174,1918,1,2,1,1,1,2,1
1175,908,1,2,1,1,1,2,1
1176,1530,1,2,1,1,1,1,1
1177,2088,1,2,1,1,1,1,1
1178,990,1,2,1,1,1,1,1
1179,1508,1,2,1,1,1,1,1
1180,1233,1,2,1,1,1,1,1
1181,919,1,2,1,1,1,1,1
1182,1273,1,2,1,1,1,1,1
1183,643,1,2,1,1,1,1,1
1184,585,1,2,1,1,1,1,1
1185,1721,1,2,1,1,1,1,1
1186,598,1,2,1,1,1,1,1
1187,1392,1,2,1,1,1,1,1
1188,371,1,2,1,1,1,1,1
1189,1319,1,2,1,1,1,2,1
1190,1319,1,2,1,1,1,2,1
1191,1422,1,2,1,1,1,2,1
1192,1056,1,2,1,1,1,2,1
1193,1487,2,2,1,1,1,1,1
1194,1007,1,2,1,1,1,2,1
1195,1085,1,2,1,1,1,2,1
1196,1074,1,2,1,1,1,1,1
1197,1320,1,2,1,1,1,1,1
1198,1905,1,2,1,1,1,1,1
1199,1312,1,2,1,1,1,1,1
1200,1959,1,2,1,1,1,1,1
1201,470,1,2,1,1,1,1,1
1202,737,1,2,1,1,1,1,1
1203,897,1,2,1,1,1,1,1
1204,890,1,2,1,1,1,1,1
1205,684,2,1,2,1,1,1,2
1206,874,1,2,1,1,1,1,1
1207,977,2,2,1,1,1,1,1
1208,1111,2,2,1,1,1,1,1
1209,1153,1,2,1,1,1,2,1
1210,961,1,2,1,1,1,2,1
1211,824,2,2,1,1,1,1,1
1212,756,1,2,1,1,1,1,1
1213,2377,1,2,1,1,1,1,1
1214,1041,1,2,1,1,1,1,1
1215,574,1,2,1,1,1,1,1
1216,1266,1,2,1,1,1,1,1
1217,644,1,1,2,1,1,1,1
